Quat_X	Quat_Y	Quat_Z	Quat_W	Roll(deg)	Pitch(deg)	Yaw(deg)
0.002658	0.005539	-0.338845	0.940822	0.071492	0.700386	-39.613390
0.002658	0.005539	-0.338845	0.940822	0.071492	0.700386	-39.613390
0.002658	0.005539	-0.338845	0.940822	0.071492	0.700386	-39.613390
0.002658	0.005539	-0.338845	0.940822	0.071492	0.700386	-39.613390
0.003732	0.006230	-0.337460	0.941312	0.161659	0.816352	-39.444324
0.001864	0.006084	-0.365460	0.930805	-0.055975	0.727016	-42.873068
0.001864	0.006084	-0.365460	0.930805	-0.055975	0.727016	-42.873068
0.001864	0.006084	-0.365460	0.930805	-0.055975	0.727016	-42.873068
0.001864	0.006084	-0.365460	0.930805	-0.055975	0.727016	-42.873068
0.002469	0.007074	-0.365237	0.930884	-0.032701	0.857962	-42.845862
0.003009	0.005969	-0.388596	0.921384	0.051905	0.764237	-45.735067
0.003009	0.005969	-0.388596	0.921384	0.051905	0.764237	-45.735067
0.003009	0.005969	-0.388596	0.921384	0.051905	0.764237	-45.735067
0.003009	0.005969	-0.388596	0.921384	0.051905	0.764237	-45.735067
0.003720	0.007360	-0.388485	0.921418	0.065146	0.942765	-45.721642
0.003307	0.006053	-0.412898	0.910751	0.058743	0.788212	-48.774865
0.003307	0.006053	-0.412898	0.910751	0.058743	0.788212	-48.774865
0.003307	0.006053	-0.412898	0.910751	0.058743	0.788212	-48.774865
0.003307	0.006053	-0.412898	0.910751	0.058743	0.788212	-48.774865
0.004580	0.007518	-0.412375	0.910972	0.122863	1.001279	-48.709153
0.004621	0.006935	-0.437257	0.899298	0.128736	0.946248	-51.858866
0.004621	0.006935	-0.437257	0.899298	0.128736	0.946248	-51.858866
0.004621	0.006935	-0.437257	0.899298	0.128736	0.946248	-51.858866
0.004621	0.006935	-0.437257	0.899298	0.128736	0.946248	-51.858866
0.005488	0.008789	-0.436672	0.899561	0.125949	1.180686	-51.785161
0.004511	0.006499	-0.462204	0.886738	0.114172	0.899342	-55.059829
0.004511	0.006499	-0.462204	0.886738	0.114172	0.899342	-55.059829
0.004511	0.006499	-0.462204	0.886738	0.114172	0.899342	-55.059829
0.004511	0.006499	-0.462204	0.886738	0.114172	0.899342	-55.059829
0.005296	0.007920	-0.461678	0.886997	0.119316	1.085253	-54.992424
0.005022	0.006500	-0.486588	0.873593	0.140320	0.930753	-58.234144
0.005022	0.006500	-0.486588	0.873593	0.140320	0.930753	-58.234144
0.005022	0.006500	-0.486588	0.873593	0.140320	0.930753	-58.234144
0.005022	0.006500	-0.486588	0.873593	0.140320	0.930753	-58.234144
0.005376	0.007442	-0.485530	0.874172	0.124494	1.044651	-58.095941
0.005050	0.006876	-0.509994	0.860136	0.095923	0.972902	-61.328498
0.005050	0.006876	-0.509994	0.860136	0.095923	0.972902	-61.328498
0.005050	0.006876	-0.509994	0.860136	0.095923	0.972902	-61.328498
0.005050	0.006876	-0.509994	0.860136	0.095923	0.972902	-61.328498
0.006021	0.008783	-0.509456	0.860431	0.080932	1.217581	-61.258178
0.004532	0.006641	-0.534014	0.845438	0.032679	0.920748	-64.556176
0.004532	0.006641	-0.534014	0.845438	0.032679	0.920748	-64.556176
0.004532	0.006641	-0.534014	0.845438	0.032679	0.920748	-64.556176
0.004532	0.006641	-0.534014	0.845438	0.032679	0.920748	-64.556176
0.005108	0.008622	-0.531752	0.846841	-0.029697	1.148015	-64.251714
0.005395	0.008716	-0.555836	0.831229	-0.041283	1.173926	-67.541065
0.005395	0.008716	-0.555836	0.831229	-0.041283	1.173926	-67.541065
0.005395	0.008716	-0.555836	0.831229	-0.041283	1.173926	-67.541065
0.005395	0.008716	-0.555836	0.831229	-0.041283	1.173926	-67.541065
0.006410	0.009908	-0.554756	0.831929	-0.018782	1.352162	-67.393388
0.005661	0.008220	-0.575435	0.817786	-0.011529	1.143671	-70.264374
